Track,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
Tender,1999,461946,4,0.587,0.566,9,-9.932,1,0.0276,0.469,0.0,0.0644,0.528,76.055,58,Alt. Rock
Kick Out the Jams,1969,160533,4,0.316,0.921,2,-3.491,1,0.0708,0.00407,0.0,0.37,0.723,145.559,44,Punk
Sweet Sue (Just You) - Live,1937,195800,4,0.513,0.387,0,-11.778,1,0.0383,0.928,0.735,0.371,0.828,165.972,0,Jazz
Show And Tell,1974,207000,4,0.37,0.418,2,-11.305,1,0.0266,0.303,0.0,0.0832,0.926,177.576,46,Pop
Lucy In The Sky With Diamonds,1975,208000,1,0.311,0.325,2,-9.042,1,0.0283,0.0469,0.0,0.139,0.668,65.09,65,Pop
The Lady In Red,1987,256000,4,0.548,0.294,10,-17.112,1,0.0333,0.332,3.34e-06,0.0392,0.491,76.698,75,Pop
Under Control,2003,187306,4,0.406,0.72,1,-4.647,1,0.0291,0.354,0.795,0.0541,0.641,91.336,55,Alt. Rock
Way Down Yonder In New Orleans,1960,150000,4,0.453,0.714,8,-9.083,1,0.0475,0.749,2.02e-06,0.124,0.881,142.737,26,Pop
"Oleo - Live at Pookie's Pub,1967",1967,974187,4,0.42,0.881,0,-13.383,1,0.108,0.445,0.195,0.711,0.429,123.533,1,Jazz
Lights Out,1982,52266,4,0.497,0.977,0,-10.469,1,0.13,4.29e-05,0.487,0.234,0.2,130.787,37,Punk
Moonlighting,1986,183973,4,0.666,0.828,1,-5.276,1,0.0303,0.223,1.86e-05,0.316,0.613,101.408,35,Jazz
What’s Going On,1971,231000,4,0.565,0.646,1,-4.908,1,0.0352,0.195,0.0,0.0937,0.654,145.966,47,Pop
Everyday People,1968,141506,4,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524,64,R&B
Idle Moments,1963,897626,4,0.486,0.0863,0,-18.495,0,0.0695,0.953,0.799,0.0891,0.187,63.677,35,Jazz
One Blood,2006,212950,4,0.6,0.838,8,-7.671,1,0.272,0.00175,0.0,0.106,0.64,163.376,41,Rap
Nice To Be With You,1972,157000,4,0.675,0.812,9,-10.834,1,0.0288,0.114,0.0,0.0409,0.971,131.865,40,Pop
Prison Women,1971,157000,4,0.382,0.909,9,-6.99,1,0.0389,0.117,0.0,0.414,0.821,154.068,10,Rock
Beautiful Sunday,1972,182000,4,0.676,0.463,9,-13.155,1,0.0306,0.309,0.0,0.288,0.91,121.923,51,Pop
Mona,1957,140786,4,0.484,0.711,8,-7.486,1,0.0355,0.874,0.000268,0.113,0.874,105.593,24,R&B
We Got The Beat,1982,153000,4,0.587,0.994,2,-5.61,1,0.0451,0.157,0.0767,0.0319,0.482,151.938,58,Pop
Ain’t No Way To Treat A Lady,1975,208000,4,0.486,0.32,10,-14.084,1,0.0389,0.728,4.79e-05,0.0979,0.35,80.207,30,Pop
Nobody,2010,275000,4,0.547,0.846,7,-6.377,1,0.0336,0.0638,0.0778,0.254,0.333,116.987,14,Rock
My Life,2008,320893,4,0.67,0.765,11,-5.019,1,0.352,0.0731,0.0,0.0567,0.383,148.126,57,Rap
SWING (feat. Normani & Davido),2022,303888,4,0.76,0.603,5,-5.898,1,0.12,0.372,0.0,0.112,0.515,97.887,36,Rap
Justified Black Eye,1995,158933,4,0.384,0.981,7,-5.971,1,0.099,0.000536,5.86e-05,0.0574,0.631,158.2,42,Punk
Heaven,1989,179000,4,0.677,0.556,9,-6.544,1,0.0306,0.263,0.0,0.105,0.521,80.006,71,Pop
The Hanging Tree,1959,170400,4,0.625,0.425,9,-11.805,1,0.0424,0.623,0.0,0.346,0.778,91.079,44,Country
Then You Can Tell Me Goodbye,1967,226000,4,0.504,0.148,11,-18.457,1,0.0285,0.951,0.00578,0.105,0.45,91.118,49,Pop
I'm a Hog for You,1956,119693,4,0.618,0.65,5,-6.652,0,0.0402,0.553,0.0,0.0603,0.966,131.426,2,R&B
Slow Down Love (feat. Chelsea Cutler),2019,157891,4,0.639,0.59,11,-7.752,0,0.352,0.556,3.38e-05,0.208,0.287,127.751,52,EDM
Jumper,1999,272000,4,0.599,0.543,0,-9.226,1,0.0302,0.0129,0.00204,0.291,0.624,91.105,66,Pop
Wishin’ And Hopin’,1964,176000,4,0.683,0.374,11,-10.084,1,0.0381,0.232,0.0,0.146,0.707,108.125,47,Pop
Chop Suey!,2001,210240,4,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,84,Alt. Rock
That's How I Got to Memphis,1970,151786,4,0.658,0.378,2,-15.799,1,0.0293,0.598,2.25e-06,0.177,0.805,113.508,28,Country
Purple Rain,1984,521866,4,0.373,0.452,10,-10.417,1,0.0321,0.0354,0.00227,0.689,0.179,113.212,73,R&B
Bitter Sweet Symphony,1998,357000,4,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,80,Pop
Every Day I Have the Blues,1949,146426,4,0.47,0.351,0,-12.633,1,0.0366,0.981,0.414,0.187,0.873,155.138,0,Blues
The Champ,1964,519360,4,0.442,0.948,5,-7.372,1,0.0752,0.749,0.748,0.114,0.417,144.731,20,Jazz
Gonna Fly Now,1977,167000,4,0.434,0.722,0,-6.388,1,0.0351,0.462,0.773,0.05,0.453,95.637,64,Pop
One Week,1998,244000,4,0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,91,Pop
Show Me,2015,220386,4,0.599,0.646,6,-6.326,1,0.337,0.222,4.36e-06,0.128,0.638,176.153,68,Rap
I Thank You,1968,178493,4,0.939,0.529,3,-8.271,0,0.0638,0.192,0.00175,0.0597,0.831,120.448,13,R&B
Blues For Ray,1950,191360,4,0.425,0.292,8,-17.648,1,0.0337,0.926,0.884,0.107,0.921,134.354,13,Jazz
Drifter's Escape,1967,166000,4,0.637,0.535,9,-12.668,1,0.0342,0.493,3.17e-05,0.262,0.842,132.458,27,Rock
Two Out Of Three Ain’t Bad,1978,324000,4,0.586,0.48,9,-9.138,1,0.0243,0.385,0.0,0.0947,0.488,79.873,59,Pop
Champagne Supernova,1995,450506,4,0.303,0.853,2,-2.26,1,0.0366,0.223,0.00159,0.361,0.119,150.381,61,Alt. Rock
Camarillo,1982,69075,4,0.491,0.922,7,-7.315,1,0.0794,0.0121,0.0,0.319,0.373,101.092,23,Punk
Whips and Furs,1979,133173,4,0.417,0.833,4,-11.525,1,0.0806,0.00543,7.68e-06,0.143,0.906,168.802,32,Punk
Stormy Weather,1960,187666,3,0.262,0.356,0,-8.031,0,0.0303,0.613,0.0,0.175,0.426,174.177,66,R&B
When You Love A Woman,1997,178000,4,0.679,0.728,8,-9.539,1,0.0378,0.405,0.00261,0.0506,0.852,109.623,64,Pop
Danny's Song,1972,188293,4,0.512,0.379,11,-12.251,0,0.0299,0.418,1.09e-05,0.0967,0.522,144.687,49,Country
How Your Love Makes Me Feel,1997,245400,4,0.612,0.787,0,-8.119,1,0.0313,0.349,0.0,0.065,0.577,140.907,47,Country
I’d Love You To Want Me,1972,196000,4,0.545,0.684,3,-10.036,1,0.0428,0.637,0.00018,0.0929,0.576,123.847,18,Pop
Wild Youth - 2002 Remaster,1981,173200,4,0.263,0.94,9,-3.485,1,0.0998,0.233,0.0183,0.706,0.471,161.532,25,Punk
Liar - Live,1992,485893,4,0.183,0.966,9,-3.484,1,0.294,0.448,8.82e-05,0.325,0.144,78.037,33,Punk
Revolution,1968,231000,4,0.574,0.833,8,-6.239,0,0.0563,0.0611,0.0,0.105,0.574,86.008,64,Pop
Gamma Ray,2005,176920,4,0.603,0.909,11,-4.213,0,0.0385,0.109,0.249,0.329,0.7,168.116,62,Alt. Rock
Three Little Pigs,1993,189000,4,0.93,0.319,9,-12.852,1,0.0422,0.552,0.0,0.0907,0.732,130.009,54,Pop
Straight Up And Down - Remastered 1998/Rudy Van Gelder Edition,1964,499173,4,0.48,0.664,0,-5.966,1,0.0634,0.538,0.00373,0.384,0.337,101.221,18,Jazz
"Mary,Mary",1966,171866,4,0.409,0.6,2,-9.64,1,0.0368,0.704,0.00311,0.0316,0.858,115.038,21,Blues
Ten Crack Commandments - 2007 Remaster,2007,203946,4,0.612,0.846,8,-5.728,1,0.544,0.061,0.0,0.314,0.797,173.812,50,Rap
I Love Only You,1983,209000,4,0.603,0.461,5,-8.148,1,0.0264,0.0932,0.0,0.158,0.401,74.658,24,Rock
Carry On,1982,252693,4,0.497,0.904,4,-9.442,1,0.067,0.000389,0.00122,0.0939,0.429,87.862,48,Metal
Mathematics,1999,246440,4,0.753,0.749,1,-6.132,0,0.316,0.0285,0.0,0.0845,0.832,93.79,57,Rap
Christmas Eve (Sarajevo 12/24),1995,204306,3,0.198,0.632,4,-6.434,0,0.0326,0.21,0.926,0.119,0.144,186.576,23,Metal
Young Emotions,1960,169000,4,0.487,0.578,1,-6.719,1,0.107,0.118,2.56e-06,0.161,0.238,160.097,43,Pop
Kyrie,1986,256000,4,0.489,0.676,0,-8.769,1,0.0368,0.287,0.0,0.389,0.622,89.749,53,Pop
Sixty Minute Man,1951,150146,4,0.765,0.505,3,-8.768,1,0.118,0.945,3.29e-05,0.191,0.857,130.985,45,R&B
Key to the Highway,1941,183920,4,0.58,0.261,7,-13.995,1,0.0816,0.765,0.000462,0.0861,0.569,101.968,17,Blues
Running On Empty,1978,291000,4,0.541,0.711,9,-13.492,1,0.0383,0.0635,0.0201,0.719,0.588,136.58,65,Pop
Forgot About Dre,1999,222293,4,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974,79,Rap
Meet In the Middle,1991,198333,4,0.746,0.443,4,-11.305,1,0.0359,0.663,0.0,0.223,0.554,91.11,66,Country
Cum On Feel the Noize - Re-Recorded,1999,280000,4,0.404,0.92,2,-4.931,1,0.118,0.000807,0.0,0.0266,0.45,144.971,6,Rock
I Love You Always Forever,1997,239000,4,0.744,0.453,5,-11.977,1,0.0348,0.627,0.421,0.0898,0.122,103.773,69,Pop
"Single Girl,Married Girl",1927,166760,4,0.556,0.419,11,-12.693,1,0.0334,0.963,0.182,0.167,0.805,122.168,18,Country
Close to Me,1985,220533,4,0.67,0.482,11,-12.511,1,0.145,0.273,0.134,0.318,0.947,184.924,39,Alt. Rock
Royal Flush (feat. André 3000 & Raekwon),2008,195360,4,0.719,0.671,11,-6.881,1,0.404,0.175,0.0,0.133,0.704,94.983,29,Rap
The Beast,2016,219573,4,0.707,0.906,5,-4.314,0,0.445,0.338,0.0,0.435,0.746,204.129,31,Rap
Place In This World,1991,193000,4,0.481,0.521,6,-7.62,1,0.0477,0.114,0.0,0.137,0.299,77.066,49,Pop
Mad World,2013,210703,4,0.471,0.876,5,-3.238,1,0.035,0.00632,2.68e-06,0.245,0.25,128.065,43,EDM
Django - Copenhagen 29/05/1965 Restauración 2023,1965,440656,4,0.491,0.243,5,-15.716,0,0.0568,0.955,0.443,0.726,0.101,90.784,10,Jazz
Don’t Know Much,1990,242000,4,0.611,0.568,9,-11.681,0,0.0882,0.382,0.0,0.0419,0.626,92.018,48,Pop
Have You Heard,1982,385866,4,0.36,0.463,7,-11.651,0,0.032,0.891,0.0661,0.363,0.488,151.059,41,Jazz
Corrine Corrina,1951,173760,4,0.498,0.79,10,-3.727,1,0.0302,0.718,0.0,0.0963,0.956,79.226,29,R&B
Judy Is a Punk - 2016 Remaster,1976,92480,4,0.232,0.866,3,-1.38,1,0.0503,0.0801,0.0962,0.235,0.722,179.551,54,Alt. Rock
Got 2 Know,2013,350098,4,0.646,0.757,7,-4.802,0,0.0312,0.0109,0.701,0.128,0.467,139.933,36,EDM
Understanding,1994,264000,4,0.401,0.907,5,-4.956,1,0.102,4.1e-05,0.000468,0.151,0.415,162.542,49,Pop
My Little Corner Of The World,1960,145000,4,0.567,0.333,3,-14.596,1,0.0289,0.86,0.929,0.0972,0.625,130.459,49,Pop
Slave To The Blues,1925,157906,4,0.598,0.0991,5,-15.837,1,0.0455,0.996,0.0469,0.401,0.386,78.765,37,Blues
Sweet Love,1986,149000,4,0.729,0.571,6,-7.06,1,0.0285,0.478,0.0,0.402,0.833,91.981,69,Pop
If You Asked Me To,1992,234000,4,0.46,0.437,7,-10.587,1,0.0304,0.128,0.0,0.025,0.227,172.382,55,Pop
Young World,1962,332000,4,0.779,0.705,8,-6.383,0,0.051,0.237,0.0,0.0899,0.451,122.996,57,Pop
When The Lights Go Out,1998,182000,4,0.637,0.843,9,-4.493,0,0.0273,0.223,0.0,0.352,0.925,98.093,45,Pop
Wasted,2015,190013,4,0.638,0.816,2,-5.503,1,0.0308,0.00149,0.00115,0.195,0.386,112.014,61,EDM
Unorthodox,2015,216857,4,0.704,0.524,4,-10.773,0,0.279,0.117,0.0,0.0864,0.714,91.047,39,Rap
"Black,Brown And White",1945,158813,4,0.7,0.293,7,-13.082,1,0.0386,0.995,0.432,0.32,0.73,111.266,0,Blues
More Than Words,1991,334000,4,0.626,0.134,6,-14.898,1,0.0298,0.467,0.0,0.113,0.239,91.893,75,Pop
Party Lights,1962,104000,4,0.838,0.278,3,-12.266,1,0.209,0.0131,0.81,0.0994,0.336,120.999,29,Pop
Nemo,2004,276200,4,0.494,0.735,0,-6.326,0,0.0348,0.000185,8.38e-05,0.086,0.359,125.042,64,Metal
Rhiannon,1976,252000,4,0.723,0.49,9,-14.745,0,0.0296,0.111,0.0946,0.0923,0.795,129.012,74,Pop
Teen Age Idol,1962,156000,4,0.706,0.41,7,-13.943,1,0.027,0.0201,0.00816,0.0654,0.642,98.9,10,Pop
Tootsee Roll,1994,261000,4,0.869,0.725,9,-12.507,0,0.256,0.0453,0.0,0.203,0.699,132.989,52,Pop
The Yellow Bandana,1963,149666,3,0.71,0.383,4,-14.114,1,0.158,0.832,0.0,0.116,0.589,82.298,21,Country
Dark Lady,1974,183000,4,0.552,0.98,2,-6.398,1,0.0704,0.00429,1.94e-06,0.13,0.485,109.005,58,Pop
Bright Lights,2011,324786,4,0.515,0.752,9,-1.853,0,0.0336,0.00207,2.5e-06,0.129,0.503,83.541,47,Blues
Swerve City,2012,164986,4,0.457,0.964,10,-2.963,1,0.0656,0.0001,0.00811,0.67,0.372,111.972,62,Alt. Rock
Fashion Killa,2013,236280,4,0.801,0.819,11,-5.189,1,0.158,0.292,0.0,0.515,0.811,139.969,77,Rap
Flava In Ya Ear,1994,302000,4,0.52,0.847,9,-5.3,1,0.427,0.272,0.0,0.325,0.799,177.371,55,Pop
Disco Nights (ROCK-FREAK),1979,354000,4,0.798,0.528,5,-12.228,0,0.0531,0.0116,0.00379,0.0446,0.898,122.61,39,Pop
Mansion,2019,323266,4,0.446,0.84,10,-4.539,0,0.313,0.567,0.0,0.0967,0.433,150.686,61,Rap
The Breakup Song (THEY Don’t Write ‘EM),1981,172000,4,0.651,0.926,2,-5.216,1,0.0659,0.097,3.49e-05,0.0369,0.699,149.974,6,Pop
Adios Amigo,1962,150266,3,0.476,0.166,10,-16.004,1,0.0291,0.686,0.000384,0.121,0.275,80.28,27,Country
September,1978,215093,4,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,74,R&B
Electric Blue,1988,263000,4,0.688,0.909,10,-4.756,1,0.0354,0.0608,1.97e-06,0.1,0.641,109.673,56,Pop
Les,2011,317293,4,0.541,0.674,1,-7.04,0,0.0841,0.00649,9.76e-05,0.235,0.123,103.139,81,Rap
Weaver Of Dreams - Remastered 2003/Rudy Van Gelder Edition,1961,395560,4,0.418,0.227,4,-15.537,0,0.0379,0.912,0.822,0.0956,0.21,103.586,43,Jazz
Jelly Roll Blues,1924,185080,4,0.545,0.526,3,-8.252,1,0.174,0.922,0.874,0.0779,0.885,151.293,14,Jazz
Tired Of Being Alone,1971,172000,4,0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,69,Pop
Church,2018,183912,4,0.551,0.681,10,-4.873,0,0.0401,0.0251,0.0,0.481,0.227,94.052,44,EDM
Cannonball,1993,213693,4,0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.499,64,Alt. Rock
Hot Love,1977,150000,4,0.375,0.985,9,-7.354,1,0.0884,0.00278,1.91e-06,0.306,0.196,91.424,19,Rock
Sword of Damocles,2014,294000,3,0.45,0.862,3,-5.287,0,0.0571,0.000508,0.000247,0.029,0.306,93.048,30,Rock
Teach Me Tonight,1981,253133,3,0.285,0.294,2,-13.152,1,0.037,0.0868,3.9e-05,0.104,0.264,206.128,35,Jazz
Till the End,1985,166000,4,0.547,0.265,9,-16.803,1,0.0249,0.411,1.35e-06,0.109,0.385,93.106,36,Country
Erotica,1992,116000,4,0.705,0.729,8,-5.028,1,0.143,0.000271,0.0682,0.229,0.632,159.012,70,Pop
How Great (feat. Jay Electronica & My cousin Nicole),2016,337423,4,0.439,0.483,2,-9.449,1,0.315,0.477,0.0,0.553,0.292,78.442,47,Rap
What You Don't Know (Sure Can Hurt You),1982,286000,4,0.265,0.933,0,-8.147,1,0.176,0.00341,0.000147,0.119,0.323,207.354,12,Rock
I Want to Conquer the World,1989,137840,4,0.331,0.99,9,-3.27,1,0.146,0.0037,0.0,0.118,0.527,155.687,52,Punk
Relaxin' At The Camarillo,1948,182200,4,0.673,0.301,0,-11.485,1,0.043,0.93,0.859,0.269,0.786,99.203,33,Jazz
Hound Dog Man,1960,171000,4,0.596,0.347,3,-14.827,0,0.0647,0.851,0.000352,0.353,0.893,146.622,41,Pop
I Waited Too Long,1956,152653,3,0.415,0.325,2,-9.618,1,0.0426,0.767,0.0,0.299,0.495,175.334,10,R&B
Take Me There,1999,243000,3,0.401,0.872,0,-4.91,1,0.117,0.215,0.00104,0.292,0.642,78.443,43,Pop
Rock & Roll - Full Length Version; 2015 Remaster,1970,283000,4,0.494,0.735,5,-8.347,1,0.0345,0.00401,3.14e-06,0.544,0.742,132.526,52,Alt. Rock
Papillon (aka Hot Butterfly),1975,247666,4,0.524,0.566,9,-8.024,1,0.0351,0.315,3.29e-05,0.112,0.429,91.456,34,R&B
Last Night Another Soldier,1981,165826,4,0.282,0.867,4,-9.935,1,0.113,0.561,0.0,0.285,0.228,189.443,25,Punk
Woman In Love,1980,231000,4,0.469,0.278,3,-16.311,0,0.028,0.248,0.000126,0.133,0.331,169.735,67,Pop
Got The Time,1990,164333,4,0.371,0.973,10,-5.303,0,0.135,0.000641,0.00163,0.0423,0.444,127.721,58,Metal
Pictures of You,1989,288026,4,0.458,0.746,9,-6.129,1,0.0315,0.00393,0.0135,0.102,0.624,172.781,45,Alt. Rock
I Can’t Sleep Baby (IF I),1996,281000,4,0.725,0.457,4,-6.927,0,0.0302,0.0855,0.0,0.124,0.211,120.224,28,Pop
Little by Little - 2006 Remixed; Long Version,1985,312000,4,0.502,0.8,9,-7.311,0,0.0445,0.14,0.00383,0.13,0.4,103.416,16,Rock
Verbal Intercourse (feat. Ghostface Killah & Nas),1995,211840,4,0.814,0.663,1,-7.446,1,0.355,0.296,3.39e-06,0.16,0.52,93.014,44,Rap
I Wanna Hold You Tonight,1985,220000,4,0.584,0.792,2,-11.376,1,0.0277,0.107,0.00071,0.0739,0.889,138.508,14,Rock
Let’s Get Serious,1980,246000,4,0.759,0.515,10,-9.74,0,0.0314,0.696,0.76,0.0932,0.794,106.052,40,Pop
Reagan Youth,1982,75973,4,0.366,0.905,2,-8.657,1,0.0636,0.00331,3.13e-05,0.386,0.848,164.831,34,Punk
Freedom of Choice,1980,208560,4,0.835,0.871,0,-13.353,1,0.0359,0.457,0.00852,0.0557,0.963,140.386,39,Alt. Rock
Alone Tonight - Above & Beyond Club Mix (Edit),2009,206400,4,0.506,0.822,3,-8.63,0,0.0497,0.255,0.0516,0.0775,0.37,137.909,33,EDM
Faded,2015,212626,4,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,70,EDM
El Nicoya,1970,89000,4,0.546,0.622,10,-17.213,0,0.183,0.475,0.79,0.0714,0.351,146.253,35,Rock
Me And Bobby Mcgee,1971,271000,4,0.43,0.463,2,-10.96,1,0.0442,0.303,5.84e-05,0.152,0.66,93.405,68,Pop
Ghetto Gospel,2004,238053,4,0.794,0.614,5,-5.352,0,0.0467,0.0964,0.0,0.0788,0.663,80.569,66,Rap
I Love You,2015,190986,4,0.643,0.868,0,-4.03,1,0.15,0.3,0.0,0.119,0.71,114.895,50,EDM
Boogaloo Down Broadway,1968,155000,4,0.802,0.675,10,-5.811,1,0.0424,0.704,0.0,0.0631,0.962,130.7,28,Pop
Come to Me,2005,225333,4,0.589,0.669,0,-4.835,1,0.0253,0.0505,0.0,0.131,0.421,92.06,53,Alt. Rock
Slave Me,2010,165000,4,0.327,0.919,7,-3.436,0,0.098,0.0218,0.00057,0.141,0.391,201.833,25,Rock
Coma White,2003,338200,4,0.347,0.741,9,-7.937,0,0.0324,6.73e-06,0.115,0.267,0.0994,159.918,56,Metal
Man in Black,1971,172986,4,0.676,0.58,5,-14.217,1,0.0506,0.589,0.000145,0.218,0.89,95.358,57,Country
Ain't No Woman (Like The One I've Got),1973,187773,4,0.562,0.592,2,-9.694,0,0.0393,0.33,1.25e-05,0.0882,0.869,99.05,56,R&B
Nobody,1996,180000,3,0.358,0.284,7,-8.285,1,0.0285,0.805,0.0,0.183,0.276,99.796,86,Pop
San Antonio Rose,1961,141000,4,0.569,0.133,11,-20.378,1,0.037,0.636,1.65e-06,0.115,0.721,97.062,45,Pop
Key West (Philosopher Pirate),2020,574000,4,0.434,0.188,9,-18.628,0,0.0433,0.843,0.000174,0.0919,0.115,138.77,34,Rock
